001	纸币既用于标价又用于付钱，这两项分别属于什么职能？	把货币当作财富保留下来，和用货币购买商品有什么不同？
002	商场挂着价格标签但顾客没付款，是否已经体现价值尺度？	今天买东西与下个月偿还欠款，在货币职能上如何区分？
003	为什么两种硬币按固定比例兑换时，含金量高的反而退出流通？	没有法定比价约束，能否直接套用劣币驱逐良币解释竞争？
004	面额与金属自身价值一致的货币叫什么？	现代纸币不承诺兑换同等贵金属，为什么仍能执行货币职能？
005	两种金币的含金量不同，早期如何确定货币之间的兑换基础？	金块本位、金币本位和金汇兑本位属于哪一种历史制度？
006	储备货币要不断提供国际流动性，为什么又可能伤害兑换承诺？	布雷顿森林体系中的美元供应与黄金兑换信心为何存在矛盾？
007	两国相同商品的购买能力不同，购买力平价如何比较汇率？	只比较两国通胀率差异，属于绝对购买力平价还是相对形式？
008	一美元需要更多本币购买，是本币升值还是贬值？请说明标价方式。	一单位本币能够兑换更多外币，这属于哪种标价变化？
009	为什么判断一国货币整体变化不能只看美元这一个交易对？	根据贸易伙伴权重合成的一篮子汇率指标叫什么？
010	保持汇率稳定会不会占用储备并限制货币政策空间？	让汇率随供求变化有什么好处，又会增加什么不确定性？
011	把未来稳定收益除以折现率来估值，为什么不能适用于任何资产？	永久恒定现金流的资本化简式和真实企业估值之间还差哪些假设？
012	出票人自己承诺付款和委托第三方付款，在票据类型上如何区分？	汇票、本票及支票为什么要分别看承诺主体和付款人？
013	一项融资主要依靠项目自己的收入还款，而非发起人的所有资产，属于什么思路？	评估项目融资为什么需要看合同安排和现金流，而不只看股东信用？
014	商业银行除了存贷款、转账与存款创造，还能提供哪一类职能？	财务咨询、融资代理和代收代付属于商业银行的哪项职能？
015	银行把甲账户的钱转给乙，与把储户的钱贷给企业，分别提供什么服务？	一次普通转账为什么不能直接视为商业银行新增贷款？
016	银行吸收存款与向客户贷款，分别处在资金来源还是运用一侧？	担保没有按普通贷款列在表内，是否就不会发生信用风险？
017	存款保险除了保护个别储户，还希望实现什么体系层面的目标？	这份学习材料是否能确定今天每家银行适用的保险限额？
018	中央银行代理国库和管理货币发行，是同一项职能吗？	准备金与银行间清算为什么属于中央银行作为银行的银行的职责？
019	暂时无法借到钱与资产不足偿还债务，为什么不能用同一种救助逻辑？	最后贷款人支持流动性，是否等于承诺赔偿金融机构的一切亏损？
020	金融市场怎样帮助资金从盈余方到需求方，并形成资产价格？	把损失风险交给其他交易者之后，社会总风险是否已经消失？
021	短期周转资金的融资与企业长期资本筹集，应怎样区分市场类型？	国库券、同业拆借和股票为什么不宜都归为同一种融资市场？
022	先卖出证券再约定购回，从融资的角度如何理解这笔交易？	回购交易有证券担保，是否仍需要考察交易对手和抵押品条件？
023	购买一项未来交易权利，和必须履行未来交易义务有什么区别？	企业约定交换两种现金流，属于哪类金融衍生安排？
024	专业人士集合大家的钱进行投资，是不是意味着每个投资者没有风险？	评价投资基金时，除了经理能力还应该看哪些产品要素？
025	企业卖债券给投资者，虽然有承销机构参与，仍可能是直接融资吗？	储户先把钱交给银行再由银行放贷，为什么属于间接融资？
026	评价金融体系时为什么不能只罗列银行、证券公司等机构名称？	资源跨时间转移、分担风险与改善激励，在金融功能观中有什么意义？
027	投资者会因为心理偏差而判断失误，这种观点属于什么分析方向？	为什么研究市场价格时，有时需要放松所有参与者完全理性的假设？
028	非传统银行渠道做期限转换和杠杆融资，为何值得关注？	影子银行是否能仅凭某个机构不是商业银行就完成界定？
029	支付、证券保管、清算、结算各类系统为什么要按职责区分？	中央证券托管机构与中央交易对手是否承担相同的基础设施功能？
030	支付页面显示请求已提交，是否能据此认定最终结算已经完成？	支付指令发出后，机构之间还要经历哪些不同处理环节？
