sim-benchmark	固定收益和混合类产品为什么不应该直接放在一起做收益排名？
sim-benchmark	同业产品收益分位可以作为整个行业排名直接宣传吗？
sim-benchmark	对标本司产品时，为什么必须使用相同的净值起止日期？
sim-benchmark	模拟净值没有分红，真实份额的收益口径还需要补哪项核对？
sim-calendar	顺延后的实际产品天数可能变化，应该怎样展示给发行人员？
sim-calendar	排期的Skill是否有权直接更改产品合同约定期限？
sim-calendar	复核发行时间表除了到期日，还需要看时区和什么版本信息？
sim-calendar	周发行和双周发行由什么配置决定，能让模型自行猜吗？
sim-weekly	周报有重复业务主键，是取第一条就够了还是要报告冲突？
sim-weekly	自动处理周报时可以默认表头总在第一行吗？
sim-weekly	金额、百分比、括号负数是否可以使用同一套无差别数值转换？
sim-weekly	重跑周报流程时应该覆盖源文件还是保留可追溯输入？
sim-onboarding	初始风险评级为什么要按当前采集节点判断字段能否使用？
sim-onboarding	开户字段需求单应包括来源、使用节点和哪些责任信息？
sim-onboarding	使用这个开户模拟工具是否等于对真实客户完成风险定级？
sim-onboarding	银行关联信息首次入金后才采集，为什么不能反推之前评分？
sim-kep	案件邮件出现多个候选，是否能随意选择第一个并结束核查？
sim-kep	无法检索、查询报错、编号缺失为什么应分别记录？
sim-kep	案件号分隔符兼容后，还需要检查邮件哪些上下文信息？
sim-kep	案件核查中技术错误与真实业务回复状态应分别由谁确认？
sim-feature	特征窗口、唯一键和数据刷新频率为何需要同时写进需求？
sim-feature	按小时更新的特征，能否被描述为实时计数？
sim-feature	自然语言策略生成后，发布目标保持什么状态？
sim-feature	算法、数据、产品与业务负责人在策略候选核对中分别负责什么？
sim-service	多个站点FAQ语义近似，是否可以直接混用中文与土耳其语版本？
sim-service	客服无法找到有效资料时应该保留哪些信息再转人工？
sim-service	旧政策译文看起来很新，为什么仍要核查对应原文版本？
sim-service	知识库没有账户实时状态，是否可以推断冻结或退款已完成？
sim-financial	经营净现金流下降时，助手是否能直接编一个经营恶化的原因？
sim-financial	母公司与合并报表的金额，能不能不加说明直接相加比较？
sim-financial	为什么利润表和资产负债表的期间或时点口径不能混为一谈？
sim-financial	报表有空值时，为了勾稽平衡可以先统一补成零吗？
guide-material	制作发行Word草稿之前，需要确认哪些产品输入？
guide-material	材料草稿生成之后，真实业务处理之前还需要谁复核？
guide-fof	FOF研究开始前，为什么要确定目标、风险预算和基金池？
guide-fof	比较FOF底层基金应同时观察费用、策略与哪些一致性信息？
guide-date	使用研报观点时，为什么不能把历史表现当作将来保证？
guide-date	研究资料的机构名称、发布日期与样本区间应该如何一起展示？
guide-guide	网页关键词分词查询是否意味着使用了语义Embedding？
guide-guide	这个工作台的本地文件和反馈默认保存在什么位置？
